,Month,Rating,Type,Device Type,Country,Subscribers,Total Revenue
0,Feb,4,Series,Mobile,Canada,73363299,226001996.47534734
1,Jan,1,Tv Show,Mobile,Japan,78617964,232848442.01706928
2,May,2,Tv Show,Smart Tv,South Korea,77326284,221243568.10761124
3,Sep,5,Tv Show,Smart Tv,India,73842732,233743570.71975273
4,Oct,4,Series,Mobile,France,79140678,229306242.93714413
5,Jul,4,Series,Tablet,Brazil,76796043,228631312.08489197
6,Apr,3,Tv Show,Mobile,Australia,74394149,231004164.8019208
7,Aug,4,Series,Smart Tv,South Korea,76200730,231054212.47129023
8,Sep,1,Series,Smart Tv,Canada,77127446,235706705.56786424
9,Jan,1,Tv Show,Smart Tv,USA,78983104,234125151.4024602
10,Sep,2,Tv Show,Smart Tv,USA,70857594,239319566.2532111
11,Jan,2,Tv Show,Smart Tv,Canada,71387630,223655175.28677958
12,Dec,4,Tv Show,Mobile,Germany,70510557,224515265.8663483
13,Sep,5,Tv Show,Tablet,Australia,76190201,234184667.5133858
14,May,5,Movie,Smart Tv,Japan,71582503,222021796.04624775
15,Nov,4,Tv Show,Mobile,Japan,76566912,229191749.73257613
16,Jul,4,Movie,Tablet,France,78439177,239602364.15313387
17,Jul,3,Movie,Mobile,UK,74601079,232745107.72109598
18,Jun,5,Movie,Mobile,USA,78892583,232680321.03181216
19,Dec,3,Movie,Smart Tv,Brazil,77903625,222178029.64785394
20,Jun,1,Movie,Smart Tv,Australia,71821033,224823776.92715716
21,Jun,2,Tv Show,Mobile,Australia,76834493,230121207.25812137
22,Mar,1,Movie,Tablet,Germany,79306356,224766921.45216462
23,Jun,5,Movie,Smart Tv,France,76045150,232251674.2096726
24,Nov,5,Movie,Mobile,USA,73037883,223348021.99785462
25,Jan,2,Series,Mobile,Japan,74983091,223363592.0737231
26,May,5,Tv Show,Mobile,France,70085245,224258049.37063503
27,Oct,4,Tv Show,Smart Tv,India,72189352,239306053.9226783
28,Oct,4,Tv Show,Smart Tv,Canada,78018405,234890900.6955342
29,Jan,2,Movie,Mobile,Japan,77514490,238703416.101808
30,Oct,2,Series,Mobile,Germany,77390677,238330959.40609172
31,May,5,Movie,Tablet,UK,73919738,230982609.73683438
32,Feb,4,Movie,Mobile,UK,79175170,238064911.74191448
33,Mar,4,Series,Tablet,Canada,70901194,231540170.67168993
