,Age,Gender,Plan,Payment Method,User Fav Genre,Watch Hour / month,Satisfaction Rate
0,62,Male,Premium,E-Wallet,Comedy,191.55458014881222,4.93215047500961
1,37,Female,Premium,Net Banking,Horror,206.38306550143574,1.7915889028612106
2,49,Female,Premium,Net Banking,Action,194.33079379338002,4.496867732966902
3,38,Female,Standard,E-Wallet,Drama,194.01200349131318,1.6424224744575984
4,35,Male,Premium,Card,Romance,192.46412262206886,1.3635050177991874
5,63,Male,Premium,E-Wallet,Romance,201.7213964475125,2.340032336148472
6,58,Female,Mobile,E-Wallet,Thriller,204.29995547099452,3.4471746242186088
7,35,Female,Premium,Net Banking,Drama,204.79028594017197,4.597498731206004
8,43,Female,Premium,E-Wallet,Thriller,191.7366322621913,2.934242691194143
9,25,Male,Premium,Card,Romance,192.00854150825046,1.8052830939933178
10,26,Female,Mobile,Upi,Horror,209.1124718152772,2.5941439638346195
11,29,Male,Basic,Net Banking,Documentary,209.16191049563886,2.7065914693093776
12,59,Male,Premium,Card,Action,187.86221219053078,2.022199988722932
13,19,Female,Mobile,E-Wallet,Documentary,193.91338459951777,2.691256884081437
14,19,Female,Standard,Upi,Horror,190.00135951664583,4.702423774645148
15,52,Female,Premium,Card,Action,205.61015330177662,4.9722400897453785
16,26,Female,Basic,Net Banking,Documentary,192.33963870686296,1.3286620536482459
17,63,Female,Premium,Upi,Comedy,192.25946511205666,3.181394530105654
18,60,Male,Standard,E-Wallet,Drama,203.02816254879477,4.100674346883967
19,62,Male,Standard,Net Banking,Documentary,205.26469117302193,1.6620917003781766
20,39,Male,Premium,Net Banking,Comedy,195.8367796097466,3.58517224172399
21,32,Female,Basic,Net Banking,Drama,207.64505742266638,1.0107013858554499
22,64,Male,Standard,Upi,Comedy,200.3343829056552,1.666246437812628
23,30,Female,Mobile,E-Wallet,Action,193.01271667074204,3.826652775575171
24,49,Male,Mobile,Net Banking,Drama,182.30418348105349,2.3313902202244234
25,46,Female,Mobile,Card,Action,191.42673625499157,2.4856363583465293
26,58,Female,Premium,E-Wallet,Action,192.06609421774738,3.9029417220078892
27,70,Female,Premium,Upi,Comedy,200.6333318425952,3.696622782244549
28,27,Male,Mobile,Upi,Action,203.16797049687457,2.711481205495527
29,45,Female,Basic,Card,Action,207.99492525262596,1.4820731664891422
30,42,Male,Standard,E-Wallet,Comedy,202.42316580484064,2.5119592510198365
31,28,Male,Basic,Net Banking,Documentary,186.62662320818455,1.9700032636445082
32,22,Male,Premium,Card,Romance,198.83669364600078,4.778142064064814
33,65,Male,Basic,Net Banking,Action,200.86082413505943,4.389506233272705
34,35,Male,Premium,Upi,Comedy,185.60429467662814,2.70314355964374
35,43,Male,Mobile,Card,Documentary,198.82814312122125,1.2500102668745785
36,56,Female,Premium,Net Banking,Documentary,194.87489813281462,2.9914732938373967
37,70,Female,Basic,E-Wallet,Thriller,185.20369624142734,2.8381700032944708
38,33,Male,Standard,Net Banking,Action,204.8055234346097,2.05976985937492
39,52,Male,Basic,E-Wallet,Horror,191.21214354266766,3.3755679307200173
40,55,Male,Basic,Card,Comedy,187.65790078731234,1.0574050112530067
41,70,Female,Basic,Card,Action,208.10536996934405,1.029976403060123
42,24,Male,Standard,Net Banking,Thriller,185.71554684039327,4.802410096699195
43,32,Female,Mobile,Card,Romance,186.38575800805097,4.800612080251706
44,42,Male,Standard,E-Wallet,Drama,195.556089159311,2.0063667773829454
45,69,Male,Standard,Card,Horror,208.06312029392086,2.356854192224514
